stage_id,stage_name,team_id,name,user,score
3,Raceday 3,9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,198
3,Raceday 3,116eac9e55bca15ecf0fe1f3b013d0f7ccas,Les Sans Maillots,Sarah,179
3,Raceday 3,9e8fa90fba09b485f82396293819dc439bb,Sag Wagoneers,andrew MKE,169
3,Raceday 3,5v4f2d20651767184e3c099f0f94dd069do,Money or tricycle?,osrjv,89
3,Raceday 3,6c38690d94cad68fc8ab02f5e8e8d7e55cG,Pinot`s Goats,Allez-dric,81
3,Raceday 3,11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,68
3,Raceday 3,5S5a93e7a24772ca2d8f06cd74cf9410d6A,Fenland Mountaineers,Al__S,45
3,Raceday 3,9ta5336886ee0b8c9f6a667c71ccb6f392F,The Go Go Boys,Whoosh!,39
4,Raceday 4,9e349a9f71d5a40822985a7ab41e3d5e11g,Toledo Mud Hens,Garfooble,386
4,Raceday 4,13ka17bbb2fd0b5ed38f7cf5b9745b099a8M,The Witch`s Cloves,Hanne Garlick,264
4,Raceday 4,11hc16e3d6b73defffbc546a042dfa8b79bc,BTS (Bicycles: Three Stefans),Darla,238
4,Raceday 4,116eac9e55bca15ecf0fe1f3b013d0f7ccas,Les Sans Maillots,Sarah,198
4,Raceday 4,9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,183
4,Raceday 4,5S5a93e7a24772ca2d8f06cd74cf9410d6A,Fenland Mountaineers,Al__S,170
4,Raceday 4,5v4f2d20651767184e3c099f0f94dd069do,Money or tricycle?,osrjv,168
4,Raceday 4,11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,150
4,Raceday 4,79c297664b1976c0618f2b715691361aa4d,The 3495s,dan3459,146
4,Raceday 4,1172bac393142c2a4ab50f0f76954d9e571J,Cancellara Culture Cycling Club,Jconley4297,140
4,Raceday 4,6s59108e94ac633df9d3f25270aa1f2b3ct,Hver er þetta?,Theros,139
4,Raceday 4,21x9f71a9db81a9b157bb9241ae6c05173el,Glass Blockx,Lost Planet of Merckx,115
4,Raceday 4,9e8fa90fba09b485f82396293819dc439bb,Sag Wagoneers,andrew MKE,106
4,Raceday 4,13l8bbb705e2a6ff86f8c5fb9147f8ff71am,la planche des belles hommes,katje,95
4,Raceday 4,7s23fbf89f8add6166418a7fe958e5db17s,les abeilles,sixbees,87
4,Raceday 4,9ta5336886ee0b8c9f6a667c71ccb6f392F,The Go Go Boys,Whoosh!,62
4,Raceday 4,6c38690d94cad68fc8ab02f5e8e8d7e55cG,Pinot`s Goats,Allez-dric,50
5,Raceday 5 (ITT),5v4f2d20651767184e3c099f0f94dd069do,Money or tricycle?,osrjv,0
5,Raceday 5 (ITT),6s59108e94ac633df9d3f25270aa1f2b3ct,Hver er þetta?,Theros,0
5,Raceday 5 (ITT),7s23fbf89f8add6166418a7fe958e5db17s,les abeilles,sixbees,0
5,Raceday 5 (ITT),9e8fa90fba09b485f82396293819dc439bb,Sag Wagoneers,andrew MKE,0
5,Raceday 5 (ITT),9ta5336886ee0b8c9f6a667c71ccb6f392F,The Go Go Boys,Whoosh!,0
5,Raceday 5 (ITT),116eac9e55bca15ecf0fe1f3b013d0f7ccas,Les Sans Maillots,Sarah,0
5,Raceday 5 (ITT),11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,0
5,Raceday 5 (ITT),13ka17bbb2fd0b5ed38f7cf5b9745b099a8M,The Witch`s Cloves,Hanne Garlick,0
5,Raceday 5 (ITT),21x9f71a9db81a9b157bb9241ae6c05173el,Glass Blockx,Lost Planet of Merckx,0
5,Raceday 5 (ITT),5S5a93e7a24772ca2d8f06cd74cf9410d6A,Fenland Mountaineers,Al__S,0
5,Raceday 5 (ITT),6c38690d94cad68fc8ab02f5e8e8d7e55cG,Pinot`s Goats,Allez-dric,0
5,Raceday 5 (ITT),79c297664b1976c0618f2b715691361aa4d,The 3495s,dan3459,0
5,Raceday 5 (ITT),9e349a9f71d5a40822985a7ab41e3d5e11g,Toledo Mud Hens,Garfooble,0
5,Raceday 5 (ITT),9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,0
5,Raceday 5 (ITT),1172bac393142c2a4ab50f0f76954d9e571J,Cancellara Culture Cycling Club,Jconley4297,0
5,Raceday 5 (ITT),11hc16e3d6b73defffbc546a042dfa8b79bc,BTS (Bicycles: Three Stefans),Darla,0
5,Raceday 5 (ITT),13l8bbb705e2a6ff86f8c5fb9147f8ff71am,la planche des belles hommes,katje,0
6,Raceday 6,11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,0
6,Raceday 6,13ka17bbb2fd0b5ed38f7cf5b9745b099a8M,The Witch`s Cloves,Hanne Garlick,0
6,Raceday 6,21x9f71a9db81a9b157bb9241ae6c05173el,Glass Blockx,Lost Planet of Merckx,0
6,Raceday 6,5v4f2d20651767184e3c099f0f94dd069do,Money or tricycle?,osrjv,0
6,Raceday 6,6s59108e94ac633df9d3f25270aa1f2b3ct,Hver er þetta?,Theros,0
6,Raceday 6,7s23fbf89f8add6166418a7fe958e5db17s,les abeilles,sixbees,0
6,Raceday 6,9e8fa90fba09b485f82396293819dc439bb,Sag Wagoneers,andrew MKE,0
6,Raceday 6,9ta5336886ee0b8c9f6a667c71ccb6f392F,The Go Go Boys,Whoosh!,0
6,Raceday 6,116eac9e55bca15ecf0fe1f3b013d0f7ccas,Les Sans Maillots,Sarah,0
6,Raceday 6,11hc16e3d6b73defffbc546a042dfa8b79bc,BTS (Bicycles: Three Stefans),Darla,0
6,Raceday 6,13l8bbb705e2a6ff86f8c5fb9147f8ff71am,la planche des belles hommes,katje,0
6,Raceday 6,5S5a93e7a24772ca2d8f06cd74cf9410d6A,Fenland Mountaineers,Al__S,0
6,Raceday 6,6c38690d94cad68fc8ab02f5e8e8d7e55cG,Pinot`s Goats,Allez-dric,0
6,Raceday 6,79c297664b1976c0618f2b715691361aa4d,The 3495s,dan3459,0
6,Raceday 6,9e349a9f71d5a40822985a7ab41e3d5e11g,Toledo Mud Hens,Garfooble,0
6,Raceday 6,9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,0
6,Raceday 6,1172bac393142c2a4ab50f0f76954d9e571J,Cancellara Culture Cycling Club,Jconley4297,0
7,Raceday 7,1172bac393142c2a4ab50f0f76954d9e571J,Cancellara Culture Cycling Club,Jconley4297,0
7,Raceday 7,11hc16e3d6b73defffbc546a042dfa8b79bc,BTS (Bicycles: Three Stefans),Darla,0
7,Raceday 7,13l8bbb705e2a6ff86f8c5fb9147f8ff71am,la planche des belles hommes,katje,0
7,Raceday 7,5S5a93e7a24772ca2d8f06cd74cf9410d6A,Fenland Mountaineers,Al__S,0
7,Raceday 7,6c38690d94cad68fc8ab02f5e8e8d7e55cG,Pinot`s Goats,Allez-dric,0
7,Raceday 7,79c297664b1976c0618f2b715691361aa4d,The 3495s,dan3459,0
7,Raceday 7,9e349a9f71d5a40822985a7ab41e3d5e11g,Toledo Mud Hens,Garfooble,0
7,Raceday 7,9s5958f281521a0081418c53188af91030s,Critical Race,Commandant,0
7,Raceday 7,116eac9e55bca15ecf0fe1f3b013d0f7ccas,Les Sans Maillots,Sarah,0
7,Raceday 7,11e448a1be346e4f72c0cfac4bba233d065a,Never Go Full Polkadot,an_username,0
